,age,race,juv_fel_count,juv_misd_count,juv_other_count,priors_count,is_violent_recid,decile_score,v_decile_score,priors_count,start,end,event,two_year_recid,labels
232,41,0,0,0,0,0,0,1,1,0,1,797,0,0,0
4334,43,0,0,0,0,0,0,5,3,0,2,1155,0,0,1
5426,44,0,0,0,0,0,0,3,3,0,2,745,0,0,0
5719,43,0,0,0,0,0,0,1,1,0,0,1053,0,0,0
6080,25,0,0,0,1,0,0,2,2,0,0,1056,0,0,0
1293,37,0,0,0,0,1,0,4,4,1,0,905,0,0,0
5601,25,0,0,0,0,0,0,5,4,0,0,1077,0,0,1
4266,35,0,0,0,0,5,0,3,3,5,0,863,0,0,0
4210,36,0,0,0,0,4,0,2,3,4,0,869,0,0,0
5326,40,0,0,0,0,1,0,1,1,1,0,833,0,0,0
6567,24,0,0,0,0,0,0,5,4,0,0,1084,0,0,1
4807,39,0,0,0,0,0,1,1,1,0,0,946,1,0,0
1418,21,0,0,0,0,1,0,8,9,1,0,1067,0,0,1
2619,41,0,0,0,0,1,0,1,1,1,1,1130,0,0,0
6189,56,0,0,0,0,28,0,7,4,28,0,320,0,0,1
676,22,0,0,0,1,3,0,9,8,3,323,1093,0,0,1
2981,33,0,0,0,0,1,0,10,6,1,0,847,0,0,1
4119,21,0,0,0,0,0,0,5,7,0,1,672,0,0,1
4619,22,0,0,1,0,1,0,6,9,1,0,1178,0,0,1
1531,45,0,0,0,0,3,0,9,1,3,0,6,0,0,1
2636,39,0,0,0,0,1,0,1,1,1,0,1030,0,0,0
558,50,0,0,0,0,3,0,3,2,3,0,1153,0,0,0
5311,42,0,0,0,0,16,0,6,2,16,23,642,0,0,1
5911,31,0,1,0,0,5,0,8,3,5,0,551,0,0,1
964,29,0,0,0,0,0,0,1,2,0,1,209,0,0,0
5193,25,0,0,0,0,0,0,2,3,0,1,1127,0,0,0
1388,20,0,0,0,2,0,1,4,7,0,0,117,0,0,0
2394,26,0,0,0,0,0,0,2,3,0,0,1177,0,0,0
3504,27,0,0,0,0,1,0,2,4,1,1,965,0,0,0
875,26,0,0,0,0,1,0,2,2,1,0,935,0,0,0
5317,55,0,0,0,0,1,0,1,1,1,1,1168,0,0,0
5173,26,0,0,0,0,6,0,8,6,6,10,233,0,0,1
2911,22,0,0,0,0,1,0,5,5,1,0,234,0,0,1
2549,50,0,0,0,0,5,0,2,1,5,0,1162,0,0,0
765,23,0,0,0,0,0,0,7,7,0,0,1022,1,0,1
5189,31,0,0,0,0,7,0,4,2,7,0,887,0,0,0
5271,25,0,0,0,0,0,0,3,4,0,33,849,0,0,0
6578,53,0,0,0,0,0,0,5,1,0,0,828,0,0,1
1995,32,0,0,0,1,8,0,4,2,8,3,60,0,0,0
6541,24,0,0,0,0,0,0,2,3,0,0,799,0,0,0
2102,22,0,0,0,0,3,1,6,5,3,127,881,1,0,1
1678,23,0,0,0,0,0,0,7,5,0,1,1146,0,0,1
3670,33,0,0,0,0,8,0,5,3,8,3,819,0,0,1
6464,26,0,0,0,0,15,0,9,6,15,42,800,0,0,1
6096,39,0,0,0,0,4,0,9,5,4,118,965,0,0,1
661,35,0,0,0,0,0,0,4,3,0,0,803,0,0,0
1958,50,0,0,0,0,0,0,1,1,0,1,768,0,0,0
2160,40,0,0,0,0,3,0,2,1,3,0,1140,0,0,0
3163,37,0,0,0,0,1,0,10,10,1,2,148,0,0,1
1095,66,0,0,0,0,3,0,1,1,3,0,101,0,0,0
618,26,0,0,0,0,6,0,8,8,6,0,896,0,0,1
2974,41,0,0,0,0,8,0,4,2,8,1,1068,0,0,0
5755,21,0,0,0,0,1,0,3,5,1,0,932,0,0,0
5067,20,0,0,0,0,0,0,3,6,0,0,787,0,0,0
4782,34,0,0,6,1,19,0,8,4,19,0,840,0,0,1
3168,24,0,0,0,0,1,0,5,5,1,0,1110,0,0,1
3300,23,0,0,0,0,0,0,4,5,0,1,750,1,0,0
6786,24,0,0,0,0,1,0,2,4,1,0,1144,0,0,0
5872,39,0,0,0,0,3,0,6,2,3,1,541,0,0,1
435,29,0,0,0,0,2,0,6,3,2,0,1180,0,0,1
985,51,0,0,0,0,17,0,4,1,17,0,891,0,0,0
3493,34,0,0,1,0,27,0,7,3,27,0,1091,0,0,1
5175,20,0,0,0,0,0,0,8,8,0,29,864,0,0,1
563,23,0,0,0,0,1,0,5,7,1,0,302,0,0,1
466,23,0,1,2,2,6,1,6,6,6,0,166,0,0,1
3524,21,0,0,0,1,1,0,8,7,1,0,780,0,0,1
1905,58,0,0,0,0,1,0,1,1,1,60,1048,0,0,0
640,22,0,0,0,0,0,0,8,6,0,0,848,0,0,1
3432,28,0,0,0,0,0,0,4,5,0,0,1115,0,0,0
2651,28,0,0,0,0,1,0,7,7,1,0,811,0,0,1
6947,23,0,2,0,0,3,0,6,9,3,0,820,0,0,1
1508,28,0,0,0,0,3,0,2,2,3,0,951,0,0,0
5184,33,0,0,0,0,0,0,9,6,0,6,938,0,0,1
4658,23,0,0,0,0,3,0,5,6,3,6,960,0,0,1
4926,25,0,0,0,0,1,0,3,4,1,0,211,0,0,0
6975,44,0,0,0,0,6,0,6,3,6,1,763,0,0,1
6047,22,0,0,0,0,0,0,8,6,0,53,1139,0,0,1
2870,28,0,0,0,0,3,0,2,2,3,0,1083,0,0,0
2751,40,0,0,0,0,7,0,8,9,7,0,129,0,0,1
547,27,0,0,0,0,0,0,5,5,0,0,1080,0,0,1
5227,25,0,0,0,0,0,0,6,5,0,0,1038,0,0,1
3049,34,0,0,0,0,5,0,6,6,5,0,1101,0,0,1
1015,26,0,0,0,1,3,0,5,5,3,0,813,0,0,1
1209,38,0,0,0,0,3,0,4,1,3,0,1148,0,0,0
1153,23,0,0,1,0,1,0,10,8,1,0,689,0,0,1
1545,28,0,0,0,0,0,0,3,3,0,0,893,0,0,0
3536,41,0,0,0,0,5,0,5,6,5,0,784,0,0,1
5838,38,0,0,0,0,5,0,7,7,5,0,1117,0,0,1
404,56,0,0,0,0,5,0,3,3,5,11,158,0,0,0
838,34,0,0,0,0,4,0,2,2,4,0,1080,0,0,0
312,32,0,0,0,0,5,0,1,1,5,0,852,0,0,0
188,66,0,0,0,0,3,1,1,1,3,0,943,1,0,0
3326,48,0,0,0,0,6,0,3,2,6,1,859,0,0,0
2979,23,0,0,0,0,1,0,2,3,1,0,232,0,0,0
1318,63,0,0,0,0,1,0,4,1,1,0,858,0,0,0
1132,47,0,0,0,0,5,0,4,1,5,0,759,0,0,0
6510,26,0,0,1,0,4,0,3,3,4,1,805,0,0,0
4449,57,0,0,0,0,3,0,1,1,3,2,1070,0,0,0
4513,29,0,0,0,0,2,0,5,3,2,0,974,0,0,1
387,35,0,0,0,0,2,0,5,5,2,4,1051,0,0,1
5667,21,0,0,1,0,2,0,6,7,2,0,859,1,0,1
6180,26,0,0,0,1,2,0,3,3,2,0,1057,0,0,0
1446,44,0,0,0,0,2,0,2,1,2,1,1141,0,0,0
1653,24,0,0,0,0,1,0,5,4,1,0,864,0,0,1
4883,34,0,1,0,0,5,0,6,2,5,0,966,0,0,1
1728,37,0,0,0,0,8,0,2,1,8,0,742,0,0,0
1448,27,0,0,0,0,1,0,2,2,1,0,923,0,0,0
3512,29,0,0,0,0,0,0,2,2,0,0,837,0,0,0
6342,37,0,0,0,0,2,0,9,7,2,403,1139,0,0,1
6131,31,0,0,0,0,0,0,6,4,0,0,882,0,0,1
5348,27,0,0,0,0,2,0,5,4,2,0,994,0,0,1
3806,49,0,0,0,0,4,0,4,1,4,0,99,0,0,0
3052,43,0,0,0,0,8,0,2,2,8,0,757,0,0,0
2010,61,0,0,0,0,5,0,2,1,5,0,157,0,0,0
3984,41,0,0,0,0,3,0,7,3,3,0,1096,0,0,1
2383,54,0,0,0,0,7,0,6,1,7,18,1055,0,0,1
6771,25,0,0,0,0,1,0,4,5,1,0,893,0,0,0
804,39,0,0,0,0,0,0,3,2,0,0,1174,0,0,0
3619,30,0,0,0,0,1,0,1,2,1,0,807,0,0,0
6532,22,0,0,0,0,0,0,6,5,0,0,906,0,0,1
3135,22,0,0,1,0,3,0,9,6,3,0,885,0,0,1
551,58,0,0,0,0,6,0,6,3,6,143,511,0,0,1
4226,34,0,0,0,0,1,0,5,3,1,0,1177,0,0,1
1637,22,0,0,0,0,0,0,2,4,0,0,947,0,0,0
4110,44,0,0,0,0,3,0,3,1,3,0,1063,0,0,0
5679,22,0,0,1,0,1,0,6,6,1,0,294,0,0,1
4497,23,0,0,1,0,1,0,5,5,1,0,793,0,0,1
3597,60,0,0,0,0,13,0,3,1,13,0,1037,0,0,0
6337,28,0,0,0,0,0,0,2,2,0,0,920,0,0,0
4109,29,0,0,0,0,0,0,10,7,0,1,778,0,0,1
5664,52,0,0,0,0,0,0,1,1,0,1,823,0,0,0
641,30,0,0,0,0,0,0,2,2,0,2,1172,0,0,0
497,38,0,0,0,0,0,0,5,1,0,1,1101,0,0,1
5179,35,0,0,0,0,2,0,3,2,2,0,958,0,0,0
1951,40,0,0,0,0,1,0,1,2,1,0,946,0,0,0
2824,25,0,0,0,0,1,0,6,5,1,0,1108,0,0,1
4841,43,0,0,0,0,0,0,6,1,0,0,225,0,0,1
4028,37,0,0,0,0,6,0,6,5,6,0,938,0,0,1
6408,29,0,0,0,0,11,0,10,5,11,0,1128,0,0,1
4823,25,0,0,0,0,0,0,7,5,0,4,953,0,0,1
700,37,0,0,0,0,6,0,3,5,6,1,1104,0,0,0
2675,23,0,0,0,0,0,0,5,6,0,1,884,0,0,1
41,51,0,0,0,0,2,0,1,1,2,0,1128,0,0,0
3789,33,0,0,0,0,0,0,1,1,0,0,480,0,0,0
6610,25,0,0,3,1,6,0,6,7,6,0,1129,0,0,1
6941,61,0,0,0,0,11,0,3,3,11,0,1128,0,0,0
6601,51,0,0,0,0,0,0,1,1,0,5,820,0,0,0
6738,30,0,0,1,0,14,0,7,7,14,5,81,0,0,1
5344,30,0,0,0,0,1,0,9,7,1,0,921,0,0,1
1962,51,0,0,0,0,1,0,7,2,1,0,762,0,0,1
4896,22,0,0,0,0,0,0,7,7,0,0,320,0,0,1
1304,44,0,0,0,0,0,0,1,1,0,0,1124,0,0,0
2440,23,0,0,1,0,2,0,9,9,2,76,1157,0,0,1
6925,27,0,0,0,0,10,0,7,3,10,0,1056,0,0,1
2038,35,0,0,0,0,0,0,8,2,0,0,955,1,0,1
992,36,0,0,0,0,5,0,4,2,5,0,841,0,0,0
1710,47,0,0,0,0,6,0,2,1,6,5,907,0,0,0
347,23,0,0,0,1,1,0,6,5,1,1,791,0,0,1
2641,35,0,0,0,0,0,0,4,2,0,0,900,0,0,0
57,49,0,0,0,0,4,0,1,1,4,0,948,0,0,0
2184,22,0,0,0,0,0,0,6,5,0,0,65,0,0,1
4232,31,0,0,0,0,15,0,8,3,15,0,395,0,0,1
6438,29,0,0,0,0,2,0,4,2,2,2,1059,0,0,0
3834,55,0,0,0,0,1,0,1,1,1,0,1078,0,0,0
2565,22,0,0,0,1,0,0,3,6,0,0,734,0,0,0
2935,47,0,0,0,0,15,0,7,2,15,0,1004,0,0,1
5018,68,0,0,0,0,2,0,4,2,2,0,833,0,0,0
7022,46,0,0,0,0,2,0,6,3,2,0,1103,0,0,1
4844,23,0,0,0,0,1,0,7,7,1,0,965,0,0,1
5731,27,0,0,0,0,8,0,6,4,8,0,203,0,0,1
3582,22,0,0,0,0,0,0,2,4,0,0,737,0,0,0
861,30,0,0,0,0,1,0,7,5,1,0,753,0,0,1
707,28,0,0,0,0,0,0,1,3,0,0,789,0,0,0
7097,22,0,0,0,0,1,0,6,6,1,0,201,0,0,1
2892,29,0,0,0,0,0,0,9,6,0,0,866,0,0,1
4716,32,0,0,0,0,2,0,10,10,2,0,933,0,0,1
6918,23,0,0,0,0,1,0,6,6,1,178,1161,0,0,1
4223,23,0,0,0,0,0,0,4,6,0,2,565,0,0,0
5528,27,0,0,0,1,0,0,2,3,0,0,1118,0,0,0
6711,22,0,0,0,0,1,0,9,7,1,4,864,0,0,1
3909,23,0,0,0,0,1,0,3,4,1,0,1123,0,0,0
2138,21,0,0,0,0,0,0,6,6,0,0,1016,0,0,1
6793,25,0,0,0,0,2,1,6,5,2,3,52,0,0,1
1932,40,0,0,0,0,0,0,2,1,0,0,970,0,0,0
2710,26,0,0,0,2,0,0,5,2,0,0,771,0,0,1
5491,24,0,0,0,0,0,0,3,4,0,0,1077,0,0,0
1054,53,0,0,0,0,2,0,3,1,2,0,1118,0,0,0
6828,63,0,0,0,0,16,0,9,5,16,0,928,0,0,1
697,24,0,0,0,0,1,0,6,4,1,0,923,0,0,1
1438,23,0,0,0,0,0,0,6,6,0,0,1115,0,0,1
1161,35,0,0,0,0,2,0,5,2,2,13,938,0,0,1
394,28,0,0,0,0,5,0,9,6,5,51,951,1,0,1
2999,46,0,0,0,0,7,0,8,3,7,18,1109,0,0,1
5057,29,0,0,0,0,0,0,2,2,0,0,827,0,0,0
783,57,0,0,0,0,11,0,6,5,11,139,903,0,0,1
5676,30,0,0,0,0,1,0,1,2,1,0,1123,0,0,0
49,29,0,0,0,0,0,0,4,3,0,0,1073,0,0,0
5056,52,0,0,0,0,0,0,1,1,0,1,1132,0,0,0
1422,54,0,0,0,0,9,0,1,1,9,1,825,0,0,0
6608,37,0,0,0,0,2,0,2,2,2,0,806,0,0,0
3324,38,0,0,0,0,0,0,4,1,0,0,740,0,0,0
2323,38,0,0,0,0,3,0,5,6,3,1,1084,0,0,1
5062,29,0,0,0,0,0,0,7,7,0,0,913,0,0,1
4186,45,0,0,0,0,5,0,1,1,5,0,230,0,0,0
2605,44,0,0,0,0,0,0,1,1,0,42,1130,0,0,0
715,22,0,0,0,0,1,0,5,7,1,0,69,0,0,1
1590,29,0,0,0,0,0,0,1,2,0,0,835,0,0,0
4204,50,0,0,0,0,0,0,8,5,0,23,927,0,0,1
5162,37,0,0,0,0,2,0,3,2,2,0,933,0,0,0
4244,23,0,0,0,0,0,1,4,4,0,1,522,0,0,0
269,20,0,0,0,0,0,0,8,6,0,2,772,0,0,1
5630,52,0,0,0,0,2,0,1,1,2,10,28,0,0,0
4696,23,0,0,0,0,3,0,8,7,3,0,187,0,0,1
3341,57,0,0,0,0,0,0,1,1,0,77,1177,0,0,0
6124,26,0,0,0,0,5,0,4,5,5,0,846,0,0,0
2814,31,0,0,0,0,2,0,3,3,2,0,772,0,0,0
2954,26,0,0,0,0,3,0,5,4,3,0,936,1,0,1
4582,34,0,0,0,0,6,0,3,2,6,0,1067,0,0,0
6227,36,0,0,0,2,7,0,5,5,7,0,836,0,0,1
6831,42,0,0,0,0,1,0,1,1,1,0,1127,0,0,0
4043,37,0,0,0,0,1,0,1,1,1,0,767,0,0,0
2237,22,0,0,0,0,0,0,6,8,0,2,812,0,0,1
4112,28,0,0,0,0,0,0,3,3,0,0,793,0,0,0
2294,23,0,0,0,0,3,0,7,5,3,1,753,0,0,1
516,34,0,0,0,0,6,0,4,2,6,51,803,0,0,0
656,47,0,0,0,0,20,0,9,5,20,1,788,0,0,1
5932,39,0,0,0,0,0,0,1,1,0,0,1159,0,0,0
4774,25,0,0,0,0,3,0,10,8,3,0,795,0,0,1
714,45,0,0,0,0,0,0,1,1,0,1,1068,0,0,0
4512,25,0,0,0,0,0,0,5,5,0,2,1126,0,0,1
5106,28,0,1,0,0,12,0,5,5,12,1,751,0,0,1
371,57,0,0,0,0,18,0,8,7,18,0,1059,0,0,1
6482,22,0,0,0,0,0,0,7,5,0,0,1058,0,0,1
6556,27,0,0,0,0,5,0,5,4,5,0,1144,0,0,1
7020,24,0,0,0,0,0,0,6,5,0,1,1113,0,0,1
6400,38,0,0,0,0,4,0,2,2,4,0,55,0,0,0
686,31,0,0,0,0,5,0,7,4,5,6,111,0,0,1
206,27,0,0,0,0,0,0,2,3,0,2,1102,0,0,0
3165,35,0,0,0,1,5,0,8,5,5,0,92,0,0,1
7198,32,0,0,0,0,4,0,5,3,4,0,653,0,0,1
5304,36,0,0,0,0,1,0,5,1,1,1,770,0,0,1
4616,36,0,0,0,0,0,0,4,3,0,279,1084,0,0,0
4366,21,0,0,0,0,0,0,7,8,0,3,761,0,0,1
2473,36,0,0,0,0,1,0,1,1,1,0,1185,0,0,0
6284,50,0,0,0,0,2,0,6,5,2,31,934,0,0,1
5407,36,0,0,0,0,1,0,2,1,1,0,1061,0,0,0
1434,49,0,0,0,0,4,0,2,1,4,36,788,0,0,0
3930,24,0,0,0,0,1,0,3,5,1,0,1165,0,0,0
3921,28,0,0,0,0,5,0,8,4,5,34,108,0,0,1
5259,41,0,0,0,0,7,0,3,2,7,0,936,1,0,0
779,35,0,0,0,0,4,0,5,3,4,1,951,0,0,1
1566,30,0,0,2,2,11,0,8,3,11,0,55,0,0,1
4026,34,0,0,0,0,0,0,10,9,0,1,809,0,0,1
3772,28,0,0,0,0,1,0,2,3,1,0,956,0,0,0
5499,35,0,0,0,0,1,0,4,4,1,1,1062,0,0,0
4494,31,0,0,0,0,5,0,4,3,5,1,805,1,0,0
2527,35,0,0,0,0,4,0,5,6,4,1,478,0,0,1
1746,25,0,0,0,0,5,0,7,7,5,0,118,0,0,1
1986,46,0,0,0,0,2,0,9,4,2,0,259,0,0,1
4363,42,0,0,0,0,1,0,1,1,1,0,884,0,0,0
753,29,0,0,0,0,3,0,5,4,3,0,962,0,0,1
5201,42,0,0,0,0,1,0,1,1,1,0,863,0,0,0
665,21,0,0,0,0,0,0,5,7,0,0,272,0,0,1
1165,24,0,0,0,0,0,0,5,7,0,3,900,0,0,1
3978,45,0,0,0,0,11,0,3,3,11,0,838,0,0,0
6233,26,0,0,0,0,1,0,4,3,1,0,902,0,0,0
3831,29,0,0,0,0,0,0,6,3,0,1,1084,0,0,1
2714,37,0,0,0,0,5,0,6,4,5,0,1136,0,0,1
6701,37,0,0,0,0,0,0,7,2,0,0,1120,0,0,1
7212,33,0,0,0,0,3,0,2,2,3,0,754,0,0,0
4530,31,0,0,0,0,0,0,3,2,0,0,1091,0,0,0
1940,24,0,0,0,0,6,0,6,7,6,309,711,0,0,1
2450,26,0,0,0,0,1,0,1,2,1,31,935,0,0,0
1608,32,0,0,0,0,1,0,2,6,1,0,1081,0,0,0
3849,35,0,0,1,0,8,0,9,8,8,239,1112,1,0,1
5974,20,0,1,0,0,1,0,6,8,1,0,786,0,0,1
1194,29,0,0,0,0,2,0,10,10,2,0,64,0,0,1
4260,74,0,0,0,0,0,0,1,1,0,0,876,0,0,0
2657,22,0,0,0,0,0,0,3,5,0,0,1098,0,0,0
3616,41,0,0,0,0,7,0,4,1,7,1,940,0,0,0
4580,32,0,0,0,0,2,0,8,8,2,0,1072,0,0,1
7210,23,0,0,0,0,0,0,3,5,0,1,790,0,0,0
3323,24,0,0,0,0,0,0,5,5,0,0,1143,0,0,1
2930,25,0,0,0,2,0,0,2,3,0,0,183,0,0,0
2396,22,0,0,0,0,0,0,9,7,0,1,1072,0,0,1
4053,23,0,1,0,0,4,0,9,9,4,2,496,0,0,1
3706,33,0,0,0,0,2,0,2,1,2,0,892,0,0,0
3852,25,0,0,0,0,0,0,5,3,0,0,1150,0,0,1
72,39,0,0,0,0,1,0,4,2,1,4,1121,0,0,0
446,50,0,0,0,0,3,0,2,1,3,0,758,0,0,0
5853,27,0,0,0,0,2,0,6,4,2,0,1053,0,0,1
606,43,0,0,0,0,1,0,1,1,1,0,877,0,0,0
6661,22,0,0,0,0,4,0,6,5,4,0,800,0,0,1
4802,27,0,0,0,0,0,0,5,6,0,0,485,0,0,1
600,40,0,0,0,0,0,0,2,1,0,0,1169,0,0,0
4029,33,0,0,0,0,0,0,7,7,0,0,1137,0,0,1
732,48,0,0,0,0,2,0,6,1,2,1,1096,0,0,1
494,54,0,0,0,0,0,0,1,1,0,0,1138,0,0,0
735,24,0,0,0,0,0,0,8,7,0,1,1090,0,0,1
5025,41,0,0,0,0,1,0,4,3,1,2,768,0,0,0
3865,42,0,0,0,0,0,0,1,1,0,0,1044,0,0,0
3191,32,0,0,0,0,3,0,2,2,3,29,68,0,0,0
1393,23,0,1,0,0,1,0,9,9,1,4,961,0,0,1
2982,33,0,0,0,0,3,0,4,1,3,0,740,0,0,0
6530,39,0,0,0,0,0,0,1,1,0,17,927,0,0,0
239,22,0,0,0,0,0,0,4,6,0,0,1134,0,0,0
286,43,0,0,0,0,0,0,1,1,0,40,1092,0,0,0
5163,37,0,0,0,0,0,0,3,2,0,0,1047,0,0,0
6746,21,0,0,0,0,0,0,8,8,0,0,466,0,0,1
5385,29,0,0,0,0,1,0,3,2,1,0,977,0,0,0
2345,42,0,0,0,0,1,0,1,1,1,0,21,0,0,0
4158,31,0,0,0,0,0,0,2,2,0,1,933,0,0,0
5364,27,0,0,0,0,1,0,2,3,1,0,525,0,0,0
5294,25,0,0,0,0,1,0,3,4,1,0,188,0,0,0
5855,27,0,0,0,0,0,0,5,4,0,2,777,0,0,1
1745,59,0,0,0,0,4,0,2,2,4,1,973,0,0,0
793,63,0,0,0,0,0,0,1,1,0,0,890,0,0,0
5019,24,0,0,0,0,0,0,3,4,0,1,746,0,0,0
6555,20,0,0,0,0,0,1,4,7,0,0,796,1,0,0
5595,29,0,0,0,0,4,0,5,6,4,0,767,1,0,1
6007,21,0,0,0,0,0,0,7,7,0,0,811,1,0,1
1538,34,0,0,0,0,2,0,3,2,2,0,758,0,0,0
5047,26,0,0,0,0,1,0,8,9,1,0,815,0,0,1
1286,39,0,0,0,0,1,0,2,1,1,0,1131,0,0,0
6908,27,0,0,0,0,2,0,6,4,2,0,995,0,0,1
3462,44,0,0,0,0,7,0,4,3,7,1,622,0,0,0
6432,32,0,0,0,1,8,0,9,4,8,0,202,0,0,1
4448,61,0,0,0,0,12,0,3,4,12,241,1150,0,0,0
3938,35,0,0,0,0,0,0,2,1,0,0,830,0,0,0
7124,56,0,0,0,0,0,0,2,1,0,0,1075,0,0,0
639,21,0,0,0,1,0,0,3,5,0,0,764,0,0,0
5963,52,0,0,0,0,3,0,3,2,3,0,1130,0,0,0
3779,65,0,0,0,0,7,0,5,1,7,0,607,0,0,1
1381,41,0,0,0,0,2,0,5,3,2,14,953,0,0,1
3088,31,0,0,0,0,4,0,2,1,4,0,835,0,0,0
2295,26,0,0,0,0,2,0,2,3,2,0,86,0,0,0
5652,30,0,0,0,0,3,0,5,3,3,1,871,0,0,1
5249,25,0,0,0,0,2,0,9,9,2,1,112,0,0,1
3603,60,0,0,0,0,0,0,1,1,0,217,880,0,0,0
6507,32,0,0,0,0,0,0,4,3,0,0,1090,0,0,0
3286,30,0,0,0,0,0,0,1,2,0,0,759,0,0,0
150,20,0,0,0,0,0,0,6,8,0,0,846,0,0,1
4868,21,0,0,0,0,1,0,7,7,1,3,1132,0,0,1
3342,25,0,0,0,0,0,0,2,4,0,6,927,0,0,0
2682,41,0,0,1,0,6,0,6,2,6,0,760,0,0,1
5961,25,0,0,0,0,5,0,5,7,5,375,1159,0,0,1
17,25,0,0,0,0,3,0,10,9,3,0,463,0,0,1
761,23,0,0,0,0,0,0,2,3,0,0,756,0,0,0
3223,28,0,0,2,0,21,1,10,10,21,0,772,1,0,1
3710,40,0,0,0,0,3,0,7,8,3,12,1048,0,0,1
5581,30,0,0,0,0,1,0,2,3,1,0,1109,0,0,0
262,29,0,0,0,0,1,0,3,3,1,0,731,0,0,0
5355,20,0,0,0,0,0,0,5,7,0,0,238,0,0,1
488,26,0,0,0,0,2,0,9,6,2,0,1087,0,0,1
1695,36,0,0,0,0,0,0,1,1,0,0,743,0,0,0
5030,23,0,0,0,0,0,0,2,4,0,0,785,0,0,0
4701,38,0,1,0,4,14,0,8,4,14,0,779,0,0,1
216,45,0,0,0,0,3,0,6,4,3,0,104,0,0,1
5035,43,0,0,0,0,0,0,1,1,0,0,847,0,0,0
6148,21,0,1,0,1,2,0,9,9,2,35,947,0,0,1
5628,28,0,0,0,0,3,0,9,7,3,0,264,0,0,1
93,71,0,0,0,0,12,0,7,3,12,0,1183,0,0,1
4381,44,0,0,0,0,0,0,5,4,0,33,1178,0,0,1
2944,22,0,0,0,0,1,0,3,5,1,0,941,0,0,0
5234,24,0,0,0,0,2,0,4,7,2,3,80,0,0,0
5924,34,0,0,0,0,3,0,1,1,3,0,800,0,0,0
3301,49,0,0,0,0,1,0,1,1,1,0,787,0,0,0
361,29,0,0,0,1,2,0,4,3,2,50,786,1,0,0
1055,57,0,0,0,0,19,0,7,4,19,117,892,0,0,1
6414,55,0,0,0,0,12,0,8,6,12,0,659,0,0,1
2114,46,0,0,0,0,4,0,4,3,4,0,815,0,0,0
88,35,0,0,0,0,1,0,2,1,1,0,1098,0,0,0
2304,20,0,0,0,0,0,0,5,7,0,0,749,0,0,1
712,44,0,0,0,1,1,0,1,1,1,0,1087,0,0,0
6177,26,0,0,0,0,1,0,5,4,1,0,848,1,0,1
6369,23,0,0,0,0,0,0,4,6,0,1,1064,0,0,0
7006,45,0,0,0,0,0,0,1,1,0,0,876,0,0,0
5525,44,0,0,0,0,0,0,1,1,0,0,894,0,0,0
3527,47,0,0,0,0,1,0,4,5,1,1,764,0,0,0
1647,28,0,2,1,0,11,0,10,5,11,25,881,0,0,1
3954,48,0,0,0,0,10,0,4,1,10,175,913,0,0,0
1000,28,0,0,0,0,1,0,4,6,1,0,775,0,0,0
3119,22,0,0,0,0,2,0,9,6,2,0,1173,0,0,1
3348,40,0,0,0,0,1,0,1,1,1,1,933,0,0,0
7074,45,0,0,0,0,9,0,7,9,9,75,816,1,0,1
3875,27,0,0,0,0,2,0,3,4,2,0,719,0,0,0
2991,47,0,0,0,0,0,0,2,1,0,0,1078,0,0,0
